"Issue ID","Issue Type","Summary","Epic Name","Epic Link","Description","Priority","Story Points","Labels","Sprint","Owner Role","Target Start","Target End","Acceptance Criteria"
"S1-E1","Epic","Order Flow Reliability","Order Flow Reliability","","Brokerage-grade reliability for placement, retries, and state consistency.","Highest","","roadmap-90d;competitive","Sprint 1","Backend;Android","2026-03-09","2026-03-22","No duplicate orders under retries; deterministic state transitions."
"S1-E2","Epic","Observability and Release Gates","Observability and Release Gates","","Production monitoring and release-quality controls for trading stability.","Highest","","roadmap-90d;competitive","Sprint 1","DevOps;QA","2026-03-09","2026-03-22","SLO dashboards and alerting active; release gates enforce critical thresholds."
"S2-E1","Epic","Ticket and Validation Hardening","Ticket and Validation Hardening","","Transparent pre-trade economics and deterministic rejection handling.","Highest","","roadmap-90d;competitive","Sprint 2","Android;Backend;QA","2026-03-23","2026-04-05","Margin and charges shown pre-trade; all rejection paths mapped in UI."
"S3-E1","Epic","Dedicated Futures Flow","Dedicated Futures Flow","","End-to-end Futures trading journey from discovery to execution.","Highest","","roadmap-90d;competitive","Sprint 3","Android;Backend","2026-04-06","2026-04-19","Futures contracts searchable and tradable with real-time position updates."
"S3-E2","Epic","Options Strategy Safety","Options Strategy Safety","","Safer options execution with payoff and risk intelligence.","Highest","","roadmap-90d;competitive","Sprint 3","Android;Backend","2026-04-06","2026-04-19","Strategy previews include payoff, Greeks, and risk guardrails."
"S4-E1","Epic","Onboarding and Sell Authorization","Onboarding and Sell Authorization","","Compliance-grade account onboarding and sell authorization workflows.","Highest","","roadmap-90d;competitive","Sprint 4","Android;Backend;Compliance","2026-04-20","2026-05-03","KYC flow hardened and eDIS/TPIN path recoverable for failures."
"S4-E2","Epic","App Security Controls","App Security Controls","","Mobile and session security controls for trust and fraud resistance.","Highest","","roadmap-90d;competitive","Sprint 4","Android;Backend","2026-04-20","2026-05-03","Session controls, pinning, and root checks active with telemetry."
"S5-E1","Epic","SGB Module","SGB Module","","Gold bonds capability including catalog, apply, and status tracking.","Highest","","roadmap-90d;competitive","Sprint 5","Android;Backend","2026-05-04","2026-05-17","Users can discover, apply, and track SGB allocations."
"S5-E2","Epic","Reports and Statements","Reports and Statements","","Tax and statement depth for investor trust and compliance readiness.","High","","roadmap-90d;competitive","Sprint 5","Android;Backend;QA","2026-05-04","2026-05-17","Tax summary and statements available and reconcilable."
"S6-E1","Epic","Performance and Device Quality","Performance and Device Quality","","Low-end device performance and launch stability hardening.","Highest","","roadmap-90d;competitive","Sprint 6","Android;QA;DevOps","2026-05-18","2026-05-31","Startup and render metrics meet defined budgets."
"S6-E2","Epic","Retention Features","Retention Features","","Intelligent alerts and watchlist features to increase active engagement.","High","","roadmap-90d;competitive","Sprint 6","Android;Data","2026-05-18","2026-05-31","Alert features improve engagement KPIs versus baseline."
"S1-001","Story","Implement idempotent order placement","","Order Flow Reliability","Use idempotency keys in order API to prevent duplicate order creation on retries.","Highest","8","roadmap-90d;execution","Sprint 1","Backend","2026-03-09","2026-03-22","Repeated retries do not create duplicate orders; same key returns same order reference."
"S1-002","Story","Build deterministic order lifecycle state machine","","Order Flow Reliability","Enforce allowed order status transitions in OMS and reject invalid transitions.","Highest","8","roadmap-90d;execution","Sprint 1","Backend","2026-03-09","2026-03-22","Allowed transitions are documented and enforced; invalid transitions return clear error code."
"S1-003","Story","Add reconnect-safe websocket stream","","Order Flow Reliability","Implement sequence tracking and gap recovery for market and order streams.","Highest","8","roadmap-90d;execution","Sprint 1","Backend;Android","2026-03-09","2026-03-22","Stream resumes after disconnect without duplicate events; gap recovery validated in tests."
"S1-004","Story","Build SLO dashboard for orders and quotes","","Observability and Release Gates","Create dashboard and alerts for latency, error rate, and order success.","Highest","5","roadmap-90d;execution","Sprint 1","DevOps","2026-03-09","2026-03-22","Dashboard exposes p95 metrics and error trends; alerts fire on threshold breach."
"S1-005","Task","Add release gate checks for crash and P0 bugs","","Observability and Release Gates","Automate release blocking checks for crash-free session and unresolved P0 defects.","Highest","3","roadmap-90d;execution","Sprint 1","QA","2026-03-09","2026-03-22","Release pipeline blocks when crash target fails or unresolved P0 issues exist."
"S2-001","Story","Show pre-trade margin and charge breakdown","","Ticket and Validation Hardening","Display complete margin and fee estimation in trade ticket before submit.","Highest","8","roadmap-90d;execution","Sprint 2","Android;Backend","2026-03-23","2026-04-05","Margin and charges visible pre-submit; final values reconcile with tradebook."
"S2-002","Story","Map all rejection reasons to user-friendly actions","","Ticket and Validation Hardening","Translate RMS and OMS rejections into deterministic user-facing copy with next steps.","Highest","5","roadmap-90d;execution","Sprint 2","Android","2026-03-23","2026-04-05","All rejection classes map to actionable and consistent UI messaging."
"S2-003","Task","Add trace IDs from mobile to backend logs","","Ticket and Validation Hardening","Propagate trace IDs from app to backend for support and incident debugging.","Highest","3","roadmap-90d;execution","Sprint 2","Backend","2026-03-23","2026-04-05","Support can trace failed orders in under 2 minutes using trace ID."
"S3-001","Story","Implement dedicated Futures discover to ticket to order flow","","Dedicated Futures Flow","Ship end-to-end Futures product journey with execution and position updates.","Highest","13","roadmap-90d;execution","Sprint 3","Android;Backend","2026-04-06","2026-04-19","Futures contracts searchable and tradable end-to-end; positions and PnL update in real time."
"S3-002","Story","Add strategy payoff, Greeks, and risk warnings","","Options Strategy Safety","Add options risk intelligence to strategy builder and confirmation flow.","Highest","8","roadmap-90d;execution","Sprint 3","Android","2026-04-06","2026-04-19","Multi-leg preview includes payoff and net Greeks; hard warnings shown for risky combinations."
"S3-003","Task","Validate multi-leg payload and guardrails on backend","","Options Strategy Safety","Validate strategy legs and enforce risk checks before order acceptance.","Highest","5","roadmap-90d;execution","Sprint 3","Backend","2026-04-06","2026-04-19","Invalid leg combinations are rejected with actionable validation errors."
"S4-001","Story","Harden KYC and verification flow","","Onboarding and Sell Authorization","Improve onboarding resilience with retry and clear failure handling for verification stages.","Highest","8","roadmap-90d;execution","Sprint 4","Backend;Android","2026-04-20","2026-05-03","Verification drop-off reduced and retry path available for failed checks."
"S4-002","Story","Implement eDIS and TPIN sell authorization UX","","Onboarding and Sell Authorization","Implement compliant sell authorization journey with status and retry handling.","Highest","8","roadmap-90d;execution","Sprint 4","Android;Backend","2026-04-20","2026-05-03","Sell authorization status is transparent and recoverable when failures occur."
